import time: self [us] | cumulative | imported package
import time:      7917 |     144547 |       fastapi.openapi.utils
import time:      2781 |       2781 |         starlette.middleware.base
import time:      4700 |       4700 |             html.entities
import time:      1767 |       6467 |           html
import time:      1465 |       7931 |         starlette.middleware.errors
import time:       979 |        979 |         starlette.middleware.exceptions
import time:      3285 |      14975 |       starlette.applications
import time:     12065 |    6504859 |     fastapi.applications
import time:       976 |        976 |     fastapi.requests
import time:      2828 |    6514604 |   fastapi
import time:      6781 |       6781 |             _compat_pickle
import time:      1642 |       1642 |             _pickle
import time:       325 |        325 |                 org
import time:        50 |        375 |               org.python
import time:        56 |        430 |             org.python.core
import time:      3226 |      12078 |           pickle
import time:      2188 |      14265 |         jinja2.bccache
import time:      1082 |       1082 |             markupsafe._speedups
import time:      2812 |       3893 |           markupsafe
import time:      8380 |       8380 |             jinja2.utils
import time:      9881 |      18261 |           jinja2.nodes
import time:      2276 |       2276 |             jinja2.exceptions
import time:       895 |        895 |               jinja2.visitor
import time:      1894 |       2789 |             jinja2.idtracking
import time:       995 |        995 |             jinja2.optimizer
import time:      5510 |      11568 |           jinja2.compiler
import time:      3912 |       3912 |               jinja2.async_utils
import time:      5465 |       5465 |               jinja2.runtime
import time:      9432 |      18807 |             jinja2.filters
import time:      1448 |       1448 |             jinja2.tests
import time:      4512 |      24766 |           jinja2.defaults
import time:      6829 |       6829 |             jinja2._identifier
import time:      8995 |      15824 |           jinja2.lexer
import time:      3529 |       3529 |           jinja2.parser
import time:     34641 |     112480 |         jinja2.environment
import time:      4773 |       4773 |         jinja2.loaders
import time:      2548 |     134063 |       jinja2
import time:      1785 |     135848 |     starlette.templating
import time:       929 |     136776 |   fastapi.templating
import time:      3831 |       3831 |       sqlalchemy.util.preloaded
import time:      1349 |       1349 |           sqlalchemy.cyextension
import time:      1517 |       1517 |           sqlalchemy.cyextension.collections
import time:      1557 |       4422 |         sqlalchemy.util._has_cy
import time:     11440 |      11440 |             platform
import time:      2290 |      13730 |           sqlalchemy.util.compat
import time:     15713 |      29443 |         sqlalchemy.util.typing
import time:    225371 |     225371 |         sqlalchemy.util._py_collections
import time:      6165 |     265398 |       sqlalchemy.util._collections
import time:     10738 |      10738 |           greenlet._greenlet
import time:      1855 |      12593 |         greenlet
import time:      6841 |       6841 |             sqlalchemy.exc
import time:     18512 |      25352 |           sqlalchemy.util.langhelpers
import time:      4180 |      29531 |         sqlalchemy.util._concurrency_py3k
import time:      2969 |      45092 |       sqlalchemy.util.concurrency
import time:      1541 |       1541 |       sqlalchemy.util.deprecations
import time:      3401 |     319262 |     sqlalchemy.util
import time:      4502 |       4502 |                       sqlalchemy.event.registry
import time:      3293 |       7794 |                     sqlalchemy.event.legacy
import time:     11527 |      19321 |                   sqlalchemy.event.attr
import time:     14378 |      33699 |                 sqlalchemy.event.base
import time:      2019 |      35717 |               sqlalchemy.event.api
